ID,Year of Birth,Age,Gender,Employment Duration,Industry,Occupation,Size of Employer Company,Size of Household,Residency Area,Time Spent Working Remotely Last Quarter of Last Year,Preferred Time Spent Working Remotely Last Quarter of Last Year,Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in 2021,Preferred Time Spent Working Remotely in Future,Employer's Policy change on Remote Work,1 day Hybrid last 6 months,Duration of Hybrid,Preferences towards Hybrid,Employer's Policy on Hybrid,Employer's Time Preference on Onsite,Attitude on Employer's Preferences,Liberty to make the Choice on Decision,Liberty to make the Choice on Days,Direct Manager's role,Attitude on Employer's Decision on Remote Work,Attitude on Employer's Encouragement,Attitude on Employer's Preparedness,Attitude of Other Employees ,Ease to get Permission on Remote Work,Ease to Collaborate with Colleagues,Effect of Promotion,Attitude on Taking Breaks,Impact on Employer,Most Supportive Person(s) on Remote Work,Expected Employer's Encouragement Post Covid,Expected Employer's Support Post Covid,Attitude on Choice on Remote Post Covid,Intended Time to Commute Onsite,Intended Time for Work Onsite,Intended Time for Chores Onsite,Intended Time for Personal Life Onsite,Intended Time for Sleep Onsite,Intended Time to Commute Remote,Intended Time for Work Remote,Intended Time for Chores Remote,Intended Time for Personal Life Remote,Intended Time for Sleep Remote,Attitude on pay cut,Agreed percentage on Pay cut,Barrier of Caring Responsibilities,Barrier of Connectivity,Barrier from Organizations Software System,Barrier on Collaboration,Barrier of poor management,Barrier of IT Equipment,Barrier of Feeling Isolated,Barrier of Extra Cost,Barrier of Cyber Security,Barrier of task cannot be done remotely,Barrier about working Space,Barrier on Motivation,Barrier on Management encouragement on Remote,Barrier of my living situation,Barrier of Remote Working Skills,Barrier of Health and Safety,Positivity on Remote Work,Activeness on Remote Work,Attitute towards Team Members,Management role of Participant,Remote Employees under Manager ,Manager's discretion towards Remote ,Opinion on Remote Employee Retention,Opinion on Remote Employee Recruitment,Opinion on Remote Team Work,Opinion on monitoring Remote Team,Opinion on Remote Poor Performers,Opinion on Preparation for Remote Employee Management,Opinion on Preparation for Focus on Work,Opinion on Finding Employees,Manager's Productivity on Remote,Employee's Productivity on Remote
41,1961,60,Male,More than 5 years,"Professional, Scientific and Technical","Professionals - Legal, Social and Welfare Professionals",Between 5 and 19,Couple with dependent children,Metro,20%,Less than 10% of my time,10%,Less than 10% of my time,Less than 10% of my time,Yes,Yes,Less than 10% of my time,Less than 10% of my time,No,,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly Positive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither positive nor negative,Senior leadership,Neither unlikely or likely,Very likely,Somewhat likely,1,8,3,5,7,1,8,3,5,7,No,,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
42,1983,38,Male,Between 1 and 5 years,"Professional, Scientific and Technical",Professionals - Health Professionals,Between 20 and 199,Couple with dependent children,Metro,10%,30%,Rarely or never,I would not have preferred to work remotely,I would prefer not to work remotely,Yes,Yes,20%,20%,No,,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither positive nor negative,They are about the same,Very likely,Very likely,Very likely,1,7,1,7,8,1,7,1,7,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Strongly disagree,Strongly disagree,Strongly agree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
48,1987,34,Female,Between 1 and 5 years,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with dependent children,Metro,20%,20%,20%,30%,20%,Yes,Yes,30%,30%,Yes,20%,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat Positive,My direct manger(s),Somewhat likely,Somewhat likely,Somewhat likely,2,8,3,3,8,3,8,3,2,8,No,,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Significantly worsened,Somewhat worsened,Significantly worsened,Somewhat worsened,Significantly worsened,Somewhat worsened,Significantly worsened,Somewhat worsened,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
51,1971,50,Male,Between 1 and 5 years,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",More than 200,Couple with dependent children,Metro,50% - I spent about half of my time remote working,50% - About half of my time,40%,30%,50% - About half of my time,Yes,Yes,40%,50% - About half of my time,Yes,50% - About half of my time,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither positive nor negative,They are about the same,Somewhat likely,Neither unlikely or likely,Neither unlikely or likely,2,10,2,3,7,1,12,2,4,5,No,,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat worsened,Somewhat improved,Stayed about the same,Stayed about the same,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Yes,Yes,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
53,1981,40,Male,More than 5 years,Financial and Insurance,Professionals - ICT Professionals,Between 20 and 199,Couple with dependent children,Metro,70%,70%,70%,80%,80%,Yes,Yes,80%,80%,Yes,20%,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat Positive,They are about the same,Somewhat likely,Somewhat likely,Somewhat likely,2,8,3,4,7,0,9,4,4,7,No,,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Significantly improved,Strongly agree,Strongly agree,Neither agree nor disagree,Yes,Yes,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
57,1978,43,Male,More than 5 years,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,Couple with dependent children,Metro,40%,90%,80%,40%,80%,Yes,Yes,80%,90%,Yes,80%,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly Positive,Senior leadership,Very likely,Very likely,Somewhat likely,3,7,4,3,7,3,7,3,4,7,Yes,0.8,Significantly improved,Significantly improved,Significantly improved,Somewhat improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Strongly agree,Somewhat agree,Strongly agree,Yes,Yes,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
58,1980,41,Female,Between 1 and 5 years,Retail Trade,Managers - Specialist Managers,Between 20 and 199,One parent family with dependent children,Metro,50% - I spent about half of my time remote working,50% - About half of my time,50% - I spent about half of my time remote working,60%,60%,Yes,Yes,60%,70%,Yes,70%,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat Positive,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat Positive,My direct manger(s),Very likely,Neither unlikely or likely,Very likely,3,7,5,2,7,1,6,5,3,9,No,,Somewhat improved,Significantly improved,Somewhat improved,Not a barrier for me,Significantly worsened,Somewhat worsened,Significantly worsened,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Somewhat worsened,Significantly improved,Neither agree nor disagree,Strongly agree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
61,1985,36,Male,More than 5 years,Administrative and Support,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,Couple with dependent children,Metro,50% - I spent about half of my time remote working,50% - About half of my time,20%,20%,20%,Yes,Yes,50% - About half of my time,20%,No,,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly Positive,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Strongly Positive,They are about the same,Very likely,Very likely,Very likely,1,8,3,5,7,0,8,3,4,9,No,,Somewhat improved,Somewhat improved,Significantly improved,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Significantly worsened,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Strongly agree,Strongly agree,Somewhat agree,Yes,Yes,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),I’m 50% more productive when working remotely (or more)
62,1964,57,Male,Between 1 and 5 years,Other Services,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Metro,90%,80%,50% - I spent about half of my time remote working,50% - About half of my time,40%,Yes,Yes,10%,Less than 10% of my time,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly Positive,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither positive nor negative,They are about the same,Somewhat likely,Somewhat likely,Very likely,2,9,2,3,8,2,9,3,2,8,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat worsened,Neither agree nor disagree,Somewhat disagree,Strongly agree,Yes,Yes,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
66,1981,40,Male,Between 1 and 5 years,"Professional, Scientific and Technical","Professionals - Design, Engineering, Science and Transport Professionals",Between 20 and 199,Group household,Metro,80%,80%,40%,60%,20%,Yes,Yes,20%,50% - About half of my time,No,,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat Positive,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat Positive,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,2,8,4,3,7,0.5,7,5,4.5,7,Yes,0.1,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat worsened,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat disagree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 20% less productive when working remotely,I’m 20% less productive when working remotely
71,1961,60,Male,More than 5 years,"Agriculture, Forestry and Fishing",Technicians and trades workers - Skilled Animal and Horticultural Workers,Between 20 and 199,Couple with dependent children,Regional,20%,30%,20%,30%,20%,No,No,,,Yes,20%,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat Positive,They are about the same,Neither unlikely or likely,Somewhat likely,Neither unlikely or likely,2,8,0,5,9,6,8,4,3,3,No,,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Significantly improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat agree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
72,1968,53,Female,More than 5 years,Education and Training,Professionals - Education Professionals,Between 1 and 4,Couple with no dependent children,Regional,Rarely or never,I would not have preferred to work remotely,Rarely or never,I would not have preferred to work remotely,I would prefer not to work remotely,No,No,,,Yes,100% - All of my time,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly Positive,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither positive nor negative,They are about the same,Neither unlikely or likely,Neither unlikely or likely,Neither unlikely or likely,2.5,9,1.5,4,7,0,2,2,13,7,No,,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Strongly disagree,Somewhat agree,Yes,Yes,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,My productivity is about same when I work remotely,My productivity is about same when I work remotely
73,1980,41,Male,Between 1 and 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",Between 20 and 199,Couple with dependent children,Metro,30%,30%,20%,20%,50% - About half of my time,Yes,No,,,Yes,20%,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat Positive,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat Positive,My direct manger(s),Somewhat likely,Neither unlikely or likely,Somewhat likely,0,,8,7,9,5,0,5,14,0,Yes,0.5,Somewhat worsened,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Significantly improved,Somewhat improved,Somewhat worsened,Stayed about the same,Somewhat improved,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Yes,Yes,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,I’m 30% more productive when working remotely,I’m 30% more productive when working remotely
76,1981,40,Male,More than 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,Couple with dependent children,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Yes,Yes,100% - All of my time,100% - All of my time,No,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat Positive,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat Positive,My direct manger(s),Somewhat likely,Neither unlikely or likely,Somewhat likely,2.5,8,3,1,9.5,0,8,4,2,10,No,,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Yes,Yes,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,I’m 10% less productive when working remotely,I’m 10% less productive when working remotely
